arabizi,arabic_harakat,arabic_stripped
bseese,بْسَيسِة,بسيسة
basaata,بَسَاطَة,بساطة
mabsuut,مَبْسُوط,مبسوط
mbassit,مْبَسِّط,مبسط
basta,بَسْطَة,بسطة
mbassata,مْبَسَّطَة,مبسطة
bsaat,بْسَاط,بساط
2ibassat,اِتْبَسَّط,اتبسط
yibassat,يِتْبَسَّط,يتبسط
tbassat,تْبَسَّط,تبسط
2istabsit,اِسْتَبْسِط,استبسط
yistabsit,يِسْتَبْسِط,يستبسط
2istabsat,اِسْتَبْسَط,استبسط
2ibsit,اِبْسِط,ابسط
bassit,بَسِّط,بسط
yibsit,يِبْسِط,يبسط
ybassit,يبَسِّط,يبسط
basat,بَسَط,بسط
bassat,بَسَّط,بسط
2inbasat,اِنْبَسَط,انبسط
yinbisit,يِنْبِسِط,ينبسط
yinbasit,يِنْبَسِط,ينبسط
2inbisit,اِنْبِسِط,انبسط
2inbasit,اِنْبَسِط,انبسط
minbisit,مِنْبِسِط,منبسط
basaatiir,بَسَاطِير,بساطير
bustaar,بُسْطَار,بسطار
busturma,بُسْطُرْمَة,بسطرمة
bustarma,بُسْطَرْمَة,بسطرمة
bsaa3,بْسَاع,بساع
baskuute,بَسْكُوتِة,بسكوتة
baskaleet,بَسْكَلَيت,بسكليت
bsuum,بْسُوم,بسوم
2ilibsuum 2issafra,البْسُوم الصَّفْرَا,البسوم الصفرا
2ibtisaame,اِبْتِسَامِة,ابتسامة
2ibtisim,اِبْتِسِم,ابتسم
yibtisim,يِبْتِسِم,يبتسم
2ibtasam,اِبْتَسَم,ابتسم
bamale,بَسْمَلِة,بسملة
basmil,بَسْمِل,بسمل
ybasmil,يبَسْمِل,يبسمل
basmal,بَسْمَل,بسمل
busht,بُشْت,بشت
basht,بَشْت,بشت
bishit,بِشِت,بشت
bshuute,بْشُوتِة,بشوتة
2ibshit,اِبْشِت,ابشت
yibshit,يِبْشِت,يبشت
bashat,بَشَت,بشت
mubaashir,مُبَاشِر,مباشر
mubashshir,مُبَشِّر,مبشر
bashari,بَشَرِي,بشري
bshaara,بْشَارَة,بشارة
bashra,بَشْرَة,بشرة
bashar,بَشَر,بشر
bshaarit kheer,بْشَارَة خير,بشارة خير
bashshir,بَشِّر,بشر
baashir,بَاشِر,باشر
ybashshir,يبَشِّر,يبشر
ybaashir,يبَاشِر,يباشر
bashshar,بَشَّر,بشر
baashar,بَاشَر,باشر
bashir,بَشِر,بشر
bashshaara,بَشَّارَة,بشارة
mibshara,مِبْشَرَة,مبشرة
2ibshur,اِبْشُر,ابشر
yibshur,يِبْشُر,يبشر
bashar,بَشَر,بشر
bishi3,بِشِع,بشع
mibsha33,مِبْشَعّ,مبشع
mbashshi3,مْبَشِّع,مبشع
bashaa3a,بَشَاعَة,بشاعة
2istabshi3,اِسْتَبْشِع,استبشع
yistabshi3,يِسْتَبْشِع,يستبشع
2istabsha3,اِسْتَبْشَع,استبشع
2ibsha33,اِبْشَعّ,ابشع
yibsha33,يِبْشَعّ,يبشع
2ibsha33,اِبْشَعّ,ابشع
2ibsha3,اِبْشَع,ابشع
yibsha3,يِبْشَع,يبشع
bishi3,بِشِع,بشع
bashshi3,بَشِّع,بشع
ybashshi3,يبَشِّع,يبشع
bashsha3,بَشَّع,بشع
bashkiir,بَشْكِير,بشكير
bashaakiir,بَشَاكِير,بشاكير
mabshuum,مَبْشُوم,مبشوم
mabaashiim,مَبَاشِيم,مباشيم
2inbishaam,اِنْبِشَام,انبشام
2inbishim,اِنْبِشِم,انبشم
yinbishim,يِنْبِشِم,ينبشم
2inbasham,اِنْبَشَم,انبشم
2ibshim,اِبْشِم,ابشم
yibshim,يِبْشِم,يبشم
basham,بَشَم,بشم
mbashnaqk,مْبَشْنَق,مبشنق
bushneeqka,بُشْنَيقَة,بشنيقة
bushneeqka,بُشْنَيقَة,بشنيقة
2itbashnaqk,اِتْبَشْنَق,اتبشنق
yitbashnaqk,يِتْبَشْنَق,يتبشنق
tbashnaqk,تْبَشْنَق,تبشنق
bashniqk,بَشْنِق,بشنق
ybashniqk,يبَشْنِق,يبشنق
bashnaqk,بَشْنَق,بشنق
basbaas,بَصْبَاص,بصباص
basbis,بَصْبِص,بصبص
ybasbis,يبَصْبِص,يبصبص
basbas,بَصْبَص,بصبص
biisaara,بِيصَارَة,بيصارة
basari,بَصَرِي,بصري
bassaara,بَصَّارَة,بصارة
busaara,بُصَارَة,بصارة
basar,بَصَر,بصر
2absir,اَبْصِر,ابصر
bassir,بَصِّر,بصر
yibsir,يِبْصِر,يبصر
ybassir,يبَصِّر,يبصر
2absar,أَبْصَر,أبصر
bassar,بَصَّر,بصر
2absar,أَبْصَر,أبصر
2absar,أَبْصَر,أبصر
bassaasa,بَصَّاصَة,بصاصة
bassa,بَصَّة,بصة
bassa,بَصَّة,بصة
basale,بَصَلِة,بصلة
yaa daakhil been 2ilbasale wuqishritha maa binuubak gheer rii7itha,يَا دَاخِل بَين البَصَلِة وقِشْرِتْهَا مَابينُوبَك غَير رِيحِتْهَا,يا داخل بين البصلة وقشرتها مابينوبك غير ريحتها
basal,بَصَل,بصل
basaltak ma7ruuqa,بَصَلْتَك مَحْرُوقَة,بصلتك محروقة
basme,بَصْمِة,بصمة
bisaame,بِصَامِة,بصامة
yubsum bil3ashra,يُبْصُم بَالعَشَرَة,يبصم بالعشرة
tarak basme,تَرَك بَصْمِة,ترك بصمة
2ubsum,اِبْصُم,ابصم
bassim,بَصِّم,بصم
yubsum,يُبْصُم,يبصم
ybassim,يبَصِّم,يبصم
basam,بَصَم,بصم
basim,بَصِم,بصم
bassam,بَصَّم,بصم
bdaa3a,بْضَاعَة,بضاعة
badaayi3,بَضَايِع,بضايع
tbadda3,تْبَضَّع,تبضع
yitbadda3,يِتْبَضَّع,يتبضع
tbadda3,تْبَضَّع,تبضع
budalle,بُضَلِّة,بضلة
batii2,بَطِيء,بطيء
mbatti2,مْبَطِّئ,مبطئ
butu2,بُطُء,بطء
2istabti2,اِسْتَبْطِئ,استبطئ
yistabti2,يِسْتَبْطِئ,يستبطئ
2istabta2,اِسْتَبْطَأ,استبطأ
batti2,بَطِّئ,بطئ
ybatti2,يبَطِّئ,يبطئ
batta2,بَطَّأ,بطأ
bataataaye,بَطَاطَايِة,بطاطاية
bataata,بَطَاطَا,بطاطا
2imbatbit,مْبَطْبِط,مبطبط
butbeet,بُطْبَيط,بطبيط
bataabit,بَطَابِط,بطابط
batbuut,بَطْبُوط,بطبوط
bataabiit,بَطَابِيط,بطابيط
batbit,بَطْبِط,بطبط
ybatbit,يبَطْبِط,يبطبط
batbat,بَطْبَط,بطبط
mbatta7,مْبَطَّح,مبطح
mabtuu7,مَبْطُوح,مبطوح
2imbaata7a,مْبَاطَحَة,مباطحة
2inbiti7,اِنْبِطِح,انبطح
yinbiti7,يِنْبِطِح,ينبطح
2inbata7,اِنْبَطَح,انبطح
2itbaata7,اِتْبَاطَح,اتباطح
yitbaata7,يِتْبَاطَح,يتباطح
tbaata7,تْبَاطَح,تباطح
baati7,بَاطِح,باطح
2ibta7,اِبْطَح,ابطح
2inbitaa7,اِنْبِطَاح,انبطاح
tbatta7,تْبَطَّح,تبطح
ybaati7,يبَاطِح,يباطح
yibta7,يِبْطَح,يبطح
yibatta7,يتْبَطَّح,يتبطح
baata7,بَاطَح,باطح
bata7,بَطَح,بطح
tbatta7,تْبَطَّح,تبطح
battiikha,بَطِّيخَة,بطيخة
battiikh,بَطِّيخ,بطيخ
battaariyya,بَطَّارِيِّة,بطارية
batraan,بَطْرَان,بطران
mitbattir,مِتْبَطِّر,متبطر
batar,بَطَر,بطر
2ibtar,اِبْطَر,ابطر
2itbattar,اِتْبَطَّر,اتبطر
yibtar,يِبْطَر,يبطر
yitbattar,يِتْبَطَّر,يتبطر
bitir,بِطِر,بطر
tbattar,تْبَطَّر,تبطر
mbatrikh,مْبَطْرِخ,مبطرخ
bataarikh,بَطَارِخ,بطارخ
batrikh,بَطْرِخ,بطرخ
ybatrikh,يبَطْرِخ,يبطرخ
batrakh,بَطْرَخ,بطرخ
mbatrin,مْبَطْرِن,مبطرن
batrin,بَطْرِن,بطرن
ybatrin,يبَطْرِن,يبطرن
batran,بَطْرَن,بطرن
batish,بَطِش,بطش
2ubtush,اِبْطِش,ابطش
yubtush,يُبْطِش,يبطش
batash,بَطَش,بطش
batt,بَطّ,بط
batt,بَطّ,بط
batt zaytuun,بَطّ زَيْتُون,بط زيتون
batta,بَطَّة,بطة
batta,بَطَّة,بطة
battit 2il2idjir,بَطِّة الإِجِر,بطة الإجر
butt,بُطّ,بط
ybutt,يبُطّ,يبط
batt,بَطّ,بط
bataayiq,بَطَايِق,بطايق
bitaaqa,بِطَاقَة,بطاقة
bitaale,بَطَالِة,بطالة
battaal,بَطَّال,بطال
mbattil,مْبَطِّل,مبطل
mbattil,مْبَطِّل,مبطل
butuule,بُطُولِة,بطولة
batal,بَطَل,بطل
2abtaal,أَبْطَال,أبطال
battil,بَطِّل,بطل
ybattil,يبَطِّل,يبطل
battal,بَطَّل,بطل
butme,بُطْمِة,بطمة
butam,بُطَم,بطم
2ibteeni,بْطَينِي,بطيني
mbattan,مْبَطَّن,مبطن
batin,بَطِن,بطن
baatoon,بَاطَون,باطون
batoon,بَاطَون,باطون
btuun,بْطُون,بطون
bawaatiin,بَوَاطِين,بواطين
batinha la7aliqha,بَطِنْهَا لَحَلِقْهَا,بطنها لحلقها
batinha faaqis,بَطِنْهَا فَاقِس,بطنها فاقس
3ala7im batno,عَلَحِم بَطْنُه,علحم بطنه
batno diribakke,بَطْنُه دربَّكِة,بطنه دربكة
batno mkazziz,بَطْنُه مقَزِّز,بطنه مقزز
2ibin batni byi3rif laratni,اِبن بَطْنِي بيعرف لرطْني,ابن بطني بيعرف لرطني
batinha tuulha,بَطِنْهَا طُولْهَا,بطنها طولها
na3aame tda33is bibatnak,نَعَامِة تدَعِّس بِبَطْنَك,نعامة تدعس ببطنك
sha3ar 2ilbatin,شَعَر البَطِن,شعر البطن
faati7 batno,فَاتِح بَطْنُه,فاتح بطنه
2araffish bibatno,أَرَفِّش بِبَطْنُه,أرفش ببطنه
wiqi3 satil batno,وِقِع سَطِل بَطْنُه,وقع سطل بطنه
batno kbiir,بَطْنُه كْبِير,بطنه كبير
batinha bisha7witha,بَطِنْهَا بِشَحْوِطْهَا,بطنها بشحوطها
7aamil batno 3adahro,حَامِل بَطْنُه عَظَهْرُه,حامل بطنه عظهره
batnidj,بَطْنِج,بطنج
ybatnidj,يبَطْنِج,يبطنج
batnadj,بَطْنَج,بطنج
batiyye,بَاطِيِّة,باطية
bawaati,بَوَاطِي,بواطي
3yuuni bazzu labarra,عيوني بَظُّوَا لبرّة,عيوني بظوا لبرة
buzz,بُظّ,بظ
ybuzz,يبُظّ,يبظ
bazz,بَظّ,بظ
badhiin,بَظِين,بظين
mba3biz,مْبَعْبِز,مبعبز
ba3buuz,بَعْبُوز,بعبوز
ba3aabiiz,بَعَابِيز,بعابيز
2itba3baz,اِتْبَعْبَز,اتبعبز
ba3biz,بَعْبِز,بعبز
yitba3baz,يِتْبَعْبَز,يتبعبز
yba3biz,يبَعْبِز,يبعبز
tba3baz,تْبَعْبَز,تبعبز
ba3baz,بَعْبَز,بعبز
ba3bish,بَعْبِش,بعبش
yba3bish,يبَعْبِش,يبعبش
ba3bash,بَعْبَش,بعبش
ba3basa,بَعْبَصَة,بعبصة
ba3bis,بَعْبِص,بعبص
yba3bis,يبَعْبِص,يبعبص
ba3bas,بَعْبَص,بعبص
ba3bi3,بَعْبِع,بعبع
yba3bi3,يبَعْبِع,يبعبع
ba3ba3,بَعْبِع,بعبع
mba3bal,مْبَعْبَل,مبعبل
ba3buul,بَعْبُول,بعبول
ba3aabiil,بَعَابِيل,بعابيل
ba3bale,بَعْبَلِة,بعبلة
2itba3bal,اِتْبَعْبَل,اتبعبل
yitba3bal,يِتْبَعْبَل,يتبعبل
tba3bal,تْبَعْبَل,تبعبل
ba3bil,بَعْبِل,بعبل
yba3bil,يبَعْبِل,يبعبل
ba3bal,بَعْبَل,بعبل
baa3it,بَاعِث,باعث
ba3it,بَعِث,بعث
bi3se,بِعْثِة,بعثة
2inbi3it,اِنْبِعِث,انبعث
yinbi3it,يِنْبِعِث,ينبعث
2inba3at,اِنْبَعَث,انبعث
2ib3at,اِبْعَث,ابعث
yib3at,يِبْعَث,يبعث
ba3at,بَعَث,بعث
mba3tar,مْبَعْثَر,مبعثر
mba3tara,مْبَعْثَرَة,مبعثرة
ba3tara,بَعْثَرَة,بعثرة
ba3tir,بَعْثِر,بعثر
yba3tir,يبَعْثِر,يبعثر
ba3tar,بَعْثَر,بعثر
2itba3tar,اِتْبَعْثَر,اتبعثر
yitba3tar,يِتْبَعْثَر,يتبعثر
tba3tar,تْبَعْثَر,تبعثر
mab3uuj,مَبْعُوج,مبعوج
mab3uuj,مَبْعُوج,مبعوج
ba33ij,بَعِّج,بعج
yba33ij,يبَعِّج,يبعج
ba33aj,بَعَّج,بعج
2ib3aj,اِبْعَج,ابعج
2inbi3ij,اِنْبِعِج,انبعج
2inib3ij,اِنِبْعِج,انبعج
yib3aj,يِبْعَج,يبعج
yinbi3ij,يِنْبِعِج,ينبعج
yinib3ij,يِنِبْعِج,ينبعج
ba3aj,بَعَج,بعج
2inba3aj,اِنْبَعَج,انبعج
mba3jir,مْبَعْجِر,مبعجر
mutabaa3id,مُتَبَاعِد,متباعد
mub3ad,مُبْعَد,مبعد
2ib3aad,إِبْعَاد,إبعاد
b3iid,بْعِيد,بعيد
b3iid 3annak,بْعِيد عَنَّك,بعيد عنك
b3iid 3an 2issaam3iin,بْعِيد عَن السَّامْعِين,بعيد عن السامعين
wuba3deen ma3ak,وبَعْدَين مَعَك,وبعدين معك
wuba3deen fiik,وبَعْدَين فِيك,وبعدين فيك
yaa ba3di,يَا بَعْدِي,يا بعدي
wuba3deen,وبَعْدَين,وبعدين
ba3idha,بعدهَا,بعدها
ba3idha,بَعْده,بعده
ba3id,بَعِد,بعد
2itbaa3ad,اِتْبَاعَد,اتباعد
yitbaa3ad,يِتْبَاعَد,يتباعد
tbaa3ad,تْبَاعَد,تباعد
baa3id,بَاعِد,باعد
ybaa3id,يبَاعِد,يباعد
baa3ad,بَاعَد,باعد
2ib3id,اِبْعِد,ابعد
2ib3id,اِبْعِد,ابعد
ba33id,بَعِّد,بعد
2istab3id,اِسْتَبْعِد,استبعد
yib3id,يِبْعِد,يبعد
yib3id,يِبْعِد,يبعد
yba33id,يبَعِّد,يبعد
yistab3id,يِسْتَبْعِد,يستبعد
ba3deen,بَعْدَين,بعدين
bi3id,بِعِد,بعد
2ab3ad,أَبْعَد,أبعد
ba33ad,بَعَّد,بعد
2istab3ad,اِسْتَبْعَد,استبعد
mabaa3ir,مَبَاعِر,مباعر
b3aara,بْعَارَة,بعارة
b3iir,بْعِير,بعير
ba3ir,بَعِر,بعر
bi3raan,بِعْرَان,بعران
mithil ba3ir 2ilidjmaal,مثل بَعِر الجمَال,مثل بعر الجمال
2itba33ar,اِتْبَعَّر,اتبعر
yitba33ar,يِتْبَعَّر,يتبعر
tba33ar,تْبَعَّر,تبعر
ba33ir,بَعِّر,بعر
yba33ir,يبَعِّر,يبعر
ba33ar,بَعَّر,بعر
ba3ze,بَعْزِة,بعزة
2itba33az,اِتْبَعَّز,اتبعز
yitba33az,يِتْبَعَّز,يتبعز
tba33az,تْبَعَّز,تبعز
2ba33izlo 3inee,أَبْعَز لُه عَينَيه,أبعز له عينيه
2ib3az,اِبْعَز,ابعز
ba33iz,بَعِّز,بعز
yib3az,يِبَعَز,يبعز
yba33iz,يبَعِّز,يبعز
ba3az,بَعَز,بعز
ba33az,بَعَّز,بعز
mba3zaq,مْبَعْزَق,مبعزق
mba3za2a,مْبَعْزَقَة,مبعزقة
ba3zaqa,بَعْزَقَة,بعزقة
2itba3zaq,اِتْبَعْزَق,اتبعزق
yitba3zaq,يِتْبَعْزَق,يتبعزق
tba3zaq,تْبَعْزَق,تبعزق
ba3ziq,بَعْزِق,بعزق
yba3ziq,يبَعْزِق,يبعزق
ba3zaq,بَعْزَق,بعزق
yib3as keefi,يِبْعَص كَيفِي,يبعص كيفي
2ib3as,اِبْعَص,ابعص
yib3as,يِبْعَص,يبعص
ba3as,بَعَص,بعص
ba3d,بَعْض,بعض
baa3uuda,بَاعُوضَة,باعوضة
baa3uud,بَاعُوض,باعوض
bawaa3iid,بَوَاعِيض,بواعيض
fooq ba3ad,فَوق بَعْض,فوق بعض
mab3uut,مَبْعُوط,مبعوط
mba33at,مْبَعَّط,مبعط
mab3uut,مَبْعُوط,مبعوط
ba3ta,بَعْطَة,بعطة
2ib3at,اِبْعَط,ابعط
2inbi3it,اِنْبِعِط,انبعط
2itba33at,اِتْبَعَّط,اتبعط
yib3at,يِبْعَط,يبعط
yinbi3it,يِنْبِعِط,ينبعط
yitba33at,يِتْبَعَّط,يتبعط
tba33at,تْبَعَّط,تبعط
ba3at,بَعَط,بعط
2inba3at,اِنْبَعَط,انبعط
bu33,بُعّ,بع
ybu33,يبُعّ,يبع
ba33,بَعّ,بع
2ib3aq,اِبْعَق,ابعق
ba3wik,بَعْوِق,بعوق
yib3aq,يِبْعَق,يبعق
yba3wik,يبَعْوِق,يبعوق
ba3aq,بَعَق,بعق
ba3wak,بَعْوَق,بعوق
ba3qish,بَعْقِش,بعقش
yba3qish,يبَعْقِش,يبعقش
ba3qash,بَعْقَش,بعقش
ba3il,بَعِل,بعل
ba3luus,بَعْلوُص,بعلوص
ba3aliis,بَعَالِيص,بعاليص
bu3leele,بُعْلَيلِة,بعليلة
ba3u,بَعُو,بعو
baghdade,بَغْدَدِة,بغددة
2itbaghdad,اِتْبَغْدَد,اتبغدد
baghdid,بَغْدِد,بغدد
yitbaghdad,يِتْبَغْدَد,يتبغدد
ybaghdid,يبَغْدِد,يبغدد
tbaghdad,تْبَغْدَد,تبغدد
baghdad,بَغْدَد,بغدد
baghghuul,بَغُّول,بغول
baghluun,بَغْلُون,بغلون
mbaghghil,مْبَغِّل,مبغل
baghil,بَغِل,بغل
bghala,بْغَلَة,بغلة
bghaal,بْغَال,بغال
bghaal,بْغَال,بغال
baghghil,بَغِّل,بغل
ybaghghil,يبَغِّل,يبغل
baghghal,بَغَّل,بغل
bughme,بُغْمِة,بغمة
bugham,بُغَم,بغم
bafte,بَفْتِة,بفتة
zayy 2ilbafte,زي البَفْتِة,زي البفتة
bufteek,بُفْتَيك,بفتيك
biff,بِفّ,بف
ybiff,يبِفّ,يبف
baff,بَفّ,بف
mbaqbish,مْبَقْبِش,مبقبش
baqkbuushe,بَقْبُوشِة,بقبوشة
baqkabiish,بَقَابِيش,بقابيش
baqkbish,بَقْبِش,بقبش
ybaqkbish,يبَقْبِش,يبقبش
baqkbash,بَقْبَش,بقبش
2itbaqbaq,اِتْبَقْبَق,اتبقبق
yitbaqbaq,يِتْبَقْبَق,يتبقبق
tbaqbaq,تْبَقْبَق,تبقبق
baqbiq,بَقْبِق,بقبق
ybaqbiq,يبَقْبِق,يبقبق
baqbaq,بَقْبَق,بقبق
buqkdje,بُقْجِة,بقجة
buqkadj,بُقَج,بقج
baqduunsiyye,بَقْدُونْسِيِّة,بقدونسية
baqduun,بَقْدُونِس,بقدونس
baqquura,بَقُّورَة,بقورة
baqruune,بَقْرُونِة,بقرونة
mbaqqir,مْبَقِّر,مبقر
baqara,بَقَرَة,بقرة
mbaqwar,مْبَقْوَر,مبقور
baaquura,بَاقُورَة,باقورة
baqar,بَقَر,بقر
2abqaar,أَبْقَار,أبقار
bawaaqiir,بَوَاقِير,بواقير
baqarit ju7a,بَقَرَة جُحَا,بقرة جحا
tidfa3 baqarat ju7a,تِدْفَع بَقَرَة جُحَا,تدفع بقرة جحا
baqara bakkiire,بقرة بكيرة,بقرة بكيرة
baqara manuu7a,بَقَرَة منوحة,بقرة منوحة
2abqar,أَبْقَر,أبقر
baqqir,بَقِّر,بقر
baqwir,بَقْوِر,بقور
2itbaqran,اِتْبَقْرَن,اتبقرن
baqrin,بَقْرِن,بقرن
ybaqrin,يبَقْرِن,يبقرن
ybaqqir,يبَقِّر,يبقر
ybaqwir,يبَقْوِر,يبقور
yitbaqran,يِتْبَقْرَن,يتبقرن
baqran,بَقْرَن,بقرن
tbaqran,تْبَقْرَن,تبقرن
baqwar,بَقْوَر,بقور
baqqar,بَقَّر,بقر
baqkradj,بَقْرَج,بقرج
baqkaaridj,بَقَارِج,بقارج
buq3a,بُقْعَة,بقعة
buqa3,بُقَع,بقع
2itbaqqa3,اِتْبَقَّع,اتبقع
yitbaqqa3,يِتْبَقَّع,يتبقع
tbaqqa3,تْبَقَّع,تبقع
baqqi3,بَقِّع,بقع
ybaqqi3,يبَقِّع,يبقع
baqqa3,بَقَّع,بقع
baqqa,بَقَّة,بقة
baqq,بَقّ,بق
buqq 2ilba7sa,بُقّ البَحْصَة,بق البحصة
zay 2ilbaqqa,زَيّ البَقَّة,زي البقة
baqqiq,بَقِّق,بقق
ybaqqiq,يبَقِّق,يبقق
baqqaq,بَقَّق,بقق
buqq,بُقّ,بق
ybuqq,يبُقّ,يبق
baqq,بَقّ,بق
baqqaale,بَقَّالِة,بقالة
buqkle,بُقْلِة,بقلة
buqkal,بُقَل,بقل
baq2le,بَقْلِة,بقلة
baqlawa,بَقْلَاوَة,بقلاوة
baqlaawi,بَقْلَاوِي,بقلاوي
7ayye baqlaawiyye,حَيِّة بَقْلَاوِيِّة,حية بقلاوية
mbaqklish,مْبَقْلِش,مبقلش
baqklashe,بَقْلَشِة,بقلشة
baqklish,بَقْلِش,بقلش
ybaqklish,يبَقْلِش,يبقلش
baqklash,بَقْلَش,بقلش
mbaqklil,مْبَقْلِل,مبقلل
baqluule,بَقْلُولِة,بقلولة
qulal,قُلَل,قلل
baqkaaliil,بَقَالِيل,بقاليل
baqklil,بَقْلِل,بقلل
ybaqklil,يبَقْلِل,يبقلل
baqklal,بَقْلَل,بقلل
baaqi,بَاقِي,باقي
baaqi,بَاقِي,باقي
baaqi,بَاقي,باقي
bawaaqi,بَوَاقِي,بواقي
baqa,بَقَى,بقى
2ibqa,اِبْقَى,ابقى
yibqa,يِبْقَى,يبقى
biqi,بِقِي,بقي
bikba,بيبقى,بيبقى
bakbake,بَكْبَكِة,بكبكة
bitshbitsh,بِكْبِك,بكبك
bakbik,بَكْبِك,بكبك
2itbakbak,اِتْبَكْبَك,اتبكبك
ybakbik,يبَكْبِك,يبكبك
yibakbak,يِتْبَكْبَك,يتبكبك
bakbak,بَكْبَك,بكبك
tbakbak,تْبَكْبَك,تبكبك
mbakkat,مْبَكَّت,مبكت
bakeet,بَاكَيت,باكيت
2itbakkat,اِتْبَكَّت,اتبكت
yitbakkat,يِتْبَكَّت,يتبكت
tbakkat,تْبَكَّت,تبكت
bakkit,بَكِّت,بكت
ybakkit,يبَكِّت,يبكت
bakkat,بَكَّت,بكت
bikriyye,بِكْرِيِّة,بكرية
bikir,بِكِر,بكر
bikri,بِكْرِي,بكري
bakaara,بَكَارَى,بكارى
bakkiir,بَكِّير,بكير
mbakkir,مْبَكِّر,مبكر
bakkiir,بَكِّير,بكير
baqkara bakkiire,بَقَرَة بَكِّيرِة,بقرة بكيرة
bukra,بُكْرَة,بكرة
bukra bitbayyin 2ilqar3a min 2im qruun,بكرة بتبين القرعة من إِم قرون,بكرة بتبين القرعة من إم قرون
bukra biduub 2ittalj wubibaan 2ilmarj,بكرة بيذوب الثلج وببَان المرج,بكرة بيذوب الثلج وببان المرج
bakkir,بَكِّر,بكر
ybakkir,يبَكِّر,يبكر
bakkar,بَكَّر,بكر
biikaar,بِيكَار,بيكار
bakradj,بَكْرَج,بكرج
mbaakase,مْبَاكَسِة,مباكسة
bukse,بُوكْسِة,بوكسة
buks,بُوكْس,بوكس
2itbakkas,اِتْبَكَّس,اتبكس
yitbakkas,يِتْبَكَّس,يتبكس
tbakkas,تْبَكَّس,تبكس
bakkis,بَكِّس,بكس
ybakkish,يبَكِّس,يبكس
bakkas,بَكَّس,بكس
bakkaash,بَكَّاش,بكاش
bakkish,بَكِّش,بكش
ybakkish,يْبَكِّش,يبكش
bakkash,بَكَّش,بكش
mbakkik,مْبَكِّك,مبكك
bakkik,بَكِّك,بكك
ybakkik,يبَكِّك,يبكك
bakkak,بَكَّك,بكك
baklashe,بَكْلَشِة,بكلشة
2itbaklash,اِتْبَكْلَش,اتبكلش
yitbaklash,يِتْبَكْلَش,يتبكلش
tbaklash,تْبَكْلَش,تبكلش
bakma,بَكْمَا,بكما
2abkam,أَبْكَم,أبكم
bukum,بُكُم,بكم
2inbikim,اِنْبِكِم,انبكم
yinbikim,يِنْبِكِم,ينبكم
2inbakam,اِنْبَكَم,انبكم
2itbakkam,اِتْبَكَّم,اتبكم
yitbakkam,يِتْبَكَّم,يتبكم
tbakkam,تْبَكَّم,تبكم
bakkaay,بَكَّاي,بكاي
buka,بُكَا,بكا
tabaaki,تَبَاكِي,تباكي
tabakki,تَبَكِّي,تبكي
bukaa2,بُكَاء,بكاء
tishki wutibki,تِشْكِي وتِبْكِي,تشكي وتبكي
ybakki 2il7ajar,يْبَكِّي الحَجَر,يبكي الحجر
ybakkii damm,يْبَكِّيه دم,يبكيه دم
tbaaka,تْبَاكَى,تباكى
2ibki,اِبْكِي,ابكي
bakki,بَكِّي,بكي
yibki,يِبْكِي,يبكي
ybakki,يْبَكِّي,يبكي
yitbaaka,يتْبَاكَى,يتباكى
tbaaka,تْبَاكَى,تباكى
baka,بَكَى,بكى
bakka,بَكَّى,بكى
mbalba7,مْبَلْبَح,مبلبح
balba7a,بَلْبَحَة,بلبحة
tbilbi7,تْبِلْبِح,تبلبح
balbi7,بَلْبِح,بلبح
ybalbi7,يبَلْبِح,يبلبح
balba7,بَلْبَح,بلبح
balbish,بَلْبِش,بلبش
ybalbish,يبَلْبِش,يبلبش
balbash,بَلْبَش,بلبش
balbas,بَلْبَص,بلبص
balbuus,بَلْبُوص,بلبوص
ybalbis,يبَلْبِص,يبلبص
balbis,بَلْبِص,بلبص
tbalbas,تْبَلْبَص,تبلبص
yitbalbas,يِتْبَلْبَص,يتبلبص
2itbalbas,اِتْبَلْبَص,اتبلبص
bil balbuus,بَالبَلْبُوص,بالبلبوص
balba3a,بَلْبَعَة,بلبعة
tbilbi3,تْبِلْبِع,تبلبع
balbi3,بَلْبِع,بلبع
ybalbi3,يبَلْبِع,يبلبع
balba3,بَلْبَع,بلبع
balbale,بَلْبَلِة,بلبلة
bulbule,بُلْبُلِة,بلبلة
bulbul,بُلْبُل,بلبل
bulbul,بُلْبُل,بلبل
balbuul,بَلْبُول,بلبول
bulbul,بُلْبُل,بلبل
balaabil,بَلَابِل,بلابل
qaddaa7 balaabil,قَدَّاح بَلَابِل,قداح بلابل
bilaadj,بِلَاج,بلاج
mballa7,مْبَلَّح,مبلح
bala7a,بَلَحَة,بلحة
bala7,بَلَح,بلح
tablii7,تَبْلِيح,تبليح
hurri bala7 yaa khookha,هُرِّي بَلَح يَا خوخَة,هري بلح يا خوخة
2itballa7,اِتْبَلَّح,اتبلح
yitballa7,يِتْبَلَّح,يتبلح
tballa7,تْبَلَّح,تبلح
mshalla7 wimballa7,مْشَلَّح ومْبَلَّح,مشلح ومبلح
2ablad,أَبْلَد,أبلد
baliid,بَلِيد,بليد
baladi,بَلَدِي,بلدي
baladiyye,بَلَدِيِّة,بلدية
balaade,بَلَادِة,بلادة
balad,بَلَد,بلد
balad,بَلَد,بلد
blaad,بْلَاد,بلاد
buldaan,بُلْدَان,بلدان
blaad 2alla 2ilwaas3a,بْلَاَد الله الوَاسْعَة,بلاد الله الواسعة
qadd 2ilbalad,قد البلد,قد البلد
